"filename", "language", "HTML", "PHP", "JavaScript", "PostCSS", "XML", "JSON", "JSON with Comments", "Markdown", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Demirbas_birim.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 86
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Demirbas_kategori.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 88
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Departman.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 82
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Depo_onay.php", "PHP", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 1, 159, 342
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Dokuman.php", "PHP", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43, 196
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Dokuman_inceleme.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Dokuman_kategori.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 87
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Dokuman_revizyon.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Duyuru.php", "PHP", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 98
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Duyuru_kategori.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 86
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Egitim.php", "PHP", 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 19, 122, 503
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Exampledata.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 65
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Fiyat_limit.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Ilce.php", "PHP", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 109
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Is_tip.php", "PHP", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 99
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Istek.php", "PHP", 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 24, 122, 400
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Istek_birim.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 86
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Istek_durum.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 84
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Istek_kategori.php", "PHP", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 98
